Category,Topic,BMW M4 Competition M xDrive
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบ Active Protection,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,24 มีนาคม 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z0L, Z6S, Z6W, Z7P)"
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย -อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),10
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2เฉลี่ย (กรัม/กิโลเมตร),228
แพ็กเกจและตัวเลือกพิเศษ,แพ็กเกจ M Driver's,■
แพ็กเกจและตัวเลือกพิเศษ,ชุดเบรก M Carbon ceramic,■
