Category,Topic,740d M Sport,750e xDrive M Sport
อุปกรณ์ภายใน,ชุดตกแต่งภายใน BMW Individual,■,■
อุปกรณ์ภายใน,เพดานหลังคาภายในดีไซน์ M สี Anthracite,■,-
อุปกรณ์ภายใน,เพดานหลังคาภายในบุด้วยวัสดุ Alcantara สี Anthracite,-,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร(Ambient Light),■,■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลังและกระจกหลัง,■,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■,■
อุปกรณ์ภายใน,ระบบประตูเปิดและปิดอัตโนมัติ,-,■
อุปกรณ์ภายใน,คอนโซลด้านหลังแบบ Executive lounge,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหลังแบบ Executive lounge,■,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,-,■
ระบบความบันเทิงและการสื่อสาร,BMW Interaction Bar,■,■
ระบบความบันเทิงและการสื่อสาร,แผงควบคุมบริเวณแผงประตู BMW Touch Command,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบจอภาพสำหรับผู้โดยสารตอนหลัง BMW Theatre Screen,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Natural Interaction,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ Entertainment Experience สำหรับผู้โดยสารตอนหลัง,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง(ยกเว้นผู้โดยสารตอนหลังกลาง),■,■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■,■
ความปลอดภัย,ระบบ Teleservices,■,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■,■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,-,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■,■
ความปลอดภัย,ระบบสัญญาณกันขโมย,■,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■,■
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,BMW Individual leather 'Merino' - Mocha,BMW Individual leather 'Merino' - Mocha
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,BMW Individual leather 'Merino' - Mocha,BMW Individual leather 'Merino' - Mocha
Paintwork / สีตัวถังและวัสดุภายใน,Dravit Grey Metallic,BMW Individual leather 'Merino' - Black,BMW Individual leather 'Merino' - Black
Paintwork / สีตัวถังและวัสดุภายใน,Oxide Grey Metallic,BMW Individual leather 'Merino' - Black,BMW Individual leather 'Merino' - Black
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,27 กุมภาพันธ์ 2568,27 กุมภาพันธ์ 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(ZJP),"(Z4T, Z8L)"
