Category,Topic,M760e xDrive
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),55.6
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),40
ล้อและยาง,ล้อ,ล้ออัลลอย BMW Individual aerodynamic ขนาด 21 นิ้ว ตกแต่งสี Dark Grey ขัดเงา ลาย 3 มิติ
ล้อและยาง,ขนาดยาง,"ล้อหน้า: 9 J × 21 / tyres 255/40 R 21
ล้อหลัง: 10.5 J × 21 / tyres 285/35 R 21"
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"5,391 / 1,950 / 1,544"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),525
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,525"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนอัจฉริยะ 4 ล้อ xDrive,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional (Parking Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบ BMW Head-up Display,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบปรับองศาของล้อหลังเพื่อการเข้าโค้งหรือเลี้ยว (Integral Active Steering),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมช่วงล่าง (Executive Drive Pro),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,ระบบไฟหน้า BMW crystal headlights Iconic Glow,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,สปอยเลอร์หลังดีไซน์ M,■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีดำเงา,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ,■
อุปกรณ์ภายนอก,ระบบประตูเปิดและปิดอัตโนมัติ,■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าและหลังพร้อมระบบ Heater,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้ขับขี่,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้โดยสารตอนหลัง,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหลัง,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ multifunctional,■
อุปกรณ์ภายใน,เบาะนั่งตอนหลังแบบ multifunctional,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,ภายในห้องโดยสารตกแต่งด้วย Carbon Fibre ถักด้วยวัสดุสีเงินแบบ M คอนโซลกลางสีดำเงาแบบ Piano Finish Black,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',■
อุปกรณ์ภายใน,ชุดตกแต่งภายใน BMW Individual,■
อุปกรณ์ภายใน,เพดานหลังคาภายในบุด้วยวัสดุ Alcantara สี Anthracite,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลังและกระจกหลัง,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,ระบบประตูเปิดและปิดอัตโนมัติ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหลังแบบ Executive lounge,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■
ระบบความบันเทิงและการสื่อสาร,BMW Interaction Bar,■
ระบบความบันเทิงและการสื่อสาร,แผงควบคุมบริเวณแผงประตู BMW Touch Command,■
ระบบความบันเทิงและการสื่อสาร,ระบบจอภาพสำหรับผู้โดยสารตอนหลัง BMW Theatre Screen,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ระบบสัญญาณกันขโมย,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Performance,■
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,BMW Individual leather 'Merino' - Amarone
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,BMW Individual leather 'Merino' - Amarone
Paintwork / สีตัวถังและวัสดุภายใน,Dravit Grey Metallic,BMW Individual leather 'Merino' - Black
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,BMW Individual leather 'Merino' - Black
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,27 กุมภาพันธ์  2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z6O, Z7L)"
หมายเหตุ,¹ ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,■
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 5 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษานานสูงสุด 5 ปี หรือ 100,000 กม. (แล้วแต่ระยะใดถึงก่อน)",■
