Category,Topic,220 Gran Coupe M Sport Pro
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบติดตั้งคาร์ซีทแบบ ISOFIX,■
ความปลอดภัย,ระบบตรวจสอบวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉินรุ่น Plus,■
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,Leather 'Veganza' - Veganza perforated | Coral Red/Black
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,Leather 'Veganza' - Veganza perforated | Coral Red/Black
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Leather 'Veganza' - Veganza perforated | Coral Red/Black
Paintwork / สีตัวถังและวัสดุภายใน,Portimao Blue Metallic,Leather 'Veganza' - Veganza perforated | Black
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,22 มิถุนายน 2569
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(ZKT)
หมายเหตุ,¹ ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,■
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 5 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 5 ปี หรือ 100,000 กม. (แล้วแต่ระยะใดถึงก่อน)",■
แพ็กเกจ,แพ็กเกจ M Sport,■
แพ็กเกจ,แพ็กเกจ M Sport Pro,■
