Category,Topic,iX xDrive45 M Sport
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ multifunctional,■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,หลังคาภายในสี Anthracite,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยวัสดุ Polished crystal glass แบบ Clear & Bold,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,ระบบจัดเก็บสัมภาระท้ายรถพร้อมตาข่าย,■
อุปกรณ์ภายใน,ระบบอุ่นพวงมาลัย (Steering-wheel heating),■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M สี Dark Silver,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,ชุดตกแต่งภายในแบบ M Sport,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ IconicSounds electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง(ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่อัตโนมัติ (ASC),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบควบคุมการล็อกเฟืองท้ายด้วยไฟฟ้า,■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,ไฟเบรกกระพริบฉุกเฉิน (Dynamic Braking Lights),■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบ Active Protection,■
ความปลอดภัย,ระบบช่วยเตือนอาการเหนื่อยล้าขณะขับขี่ (Attentiveness Assistant),■
ความปลอดภัย,ระบบปกป้องคนเดินถนนเมื่อเกิดอุบัติเหตุ,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ระบบตรวจสอบวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉินรุ่น Plus,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการชนคนเดินถนนด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go(Active cruise control with Stop&Go function),■
ความปลอดภัย,ชุดตกแต่ง M Sport,■
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Arctic Race Blue Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Dune Grey Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Carbon Black Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Aventurine Red Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork / สีตัวถังและวัสดุภายใน,Space Silver Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,28 พฤศจิกายน 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(ZJU)
