Category,Topic,M5 Touring
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic พร้อม Gearshift Paddles,■
ระบบขับเคลื่อนและเทคโนโลยี,โหมดการขับขี่ M Drive Professional,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบปรับองศาของล้อหลังเพื่อการเข้าโค้งหรือเลี้ยว (Integral Active Steering),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional (Parking Assistant Professional),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ Iconic Glow,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ชุดเบรก M compound brake,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งดีไซน์ M สีดำ (M Lights Shadow Line),■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดแต่ง M ตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ฝากระจกมองข้าง M carbon,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Multifunctional,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับ Carbon Fibre ถักด้วยวัสดุสีเงิน แบบ M,■
อุปกรณ์ภายใน,ม่านบังแดดที่กระจกผู้โดยสารตอนหลัง,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■
อุปกรณ์ภายใน,เพดานหลังคาภายในดีไซน์ M บุด้วยวัสดุ Alcantara สี Anthracite,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบ Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสาร,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบสร้างเสียงจำลอง เตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการชนคนเดินถนนและจักรยานด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบช่วยเตือนก่อนออกจากรถ,■
ความปลอดภัย,ระบบช่วยควบคุมให้อยู่ในช่องทางเดินรถ,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยเปลี่ยนช่องทางเดินรถ,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหน้าและหลัง,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,■
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,18 กุมภาพันธ์ 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z9D, Z9E, ZJZ)"
หมายเหตุ,ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,-
หมายเหตุ,"ความเร็วสูงสุดจะถูกปลดล็อคเมื่อรถได้ผ่านช่วงรันอินเป็นระยะทาง 2,000 กม. และได้รับการตรวจสภาพที่ผู้แทนจำหน่ายอย่างเป็นทางการเมื่อครบระยะรันอิน",-
หมายเหตุ,ติดต่อสอบถามราคาและข้อมูลของตัวเลือกพิเศษเพิ่มเติมได้ที่ผู้จำหน่ายบีเอ็มดับเบิลยูอย่างเป็นทางการ,-
แพ็กเกจ,แพ็กเกจ M Driver's,■
ตัวเลือกพิเศษเพิ่มเติม,ชุดเบรก M Carbon ceramic³,■
