Category,Topic,iX2 xDrive30 M Sport
อุปกรณ์ภายนอก,กระจกบานหน้าและคู่หน้าแบบลดเสียงรบกวน,■
อุปกรณ์ภายใน,เบาะนั่งดีไซน์ M Sport,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,กระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 2 โซน,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■
อุปกรณ์ภายใน,คอนโซลด้านบนแบบ Luxury,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยอลูมิเนียมพร้อมลวดลายกราฟฟิค,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Head-up Display,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศรีษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ชุดตกแต่งพิเศษ,ชุดตกแต่งพิเศษ M Sport,■
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork / สีตัวถังและวัสดุภายใน,Cape York Green Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork / สีตัวถังและวัสดุภายใน,Fire Red Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,15 มกราคม 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z2O, Z0N, Z8C, Z8D)"
หมายเหตุ,ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,-
หมายเหตุ,"รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 6 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 6 ปี ไม่จำกัดระยะทาง และการรับประกันแบตเตอรี่แรงดันสูงและอุปกรณ์ร่วมนานสูงสุด 8 ปี หรือ 160,000 กม. (แล้วแต่อย่างใดถึงก่อน) ช่วงระยะเวลาการนำรถเข้ารับบริการครบกำหนดทุก 24 เดือน",-
หมายเหตุ,"บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงข้อมูลไม่ว่าจะเป็นข้อกำหนดเรื่องรายละเอียด, สเปค และรุ่น ณ เวลาใดๆ โดยไม่ต้องบอกกล่าวล่วงหน้า และไม่จัดอยู่ในความรับผิดชอบในกรณีที่มีการผิดพลาดทางการพิมพ์",-
