Category,Topic,iX1 eDrive20L M Sport
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ Sport,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยอลูมิเนียมลาย Hexacube Pale M,■
อุปกรณ์ภายใน,คอนโซลด้านบนแบบ Luxury,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติ,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Plus,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Head-up Display,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการชนคนเดินถนนและจักรยานด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบเตือนการชนด้านหลัง,■
ความปลอดภัย,ระบบช่วยเตือนก่อนออกจากรถ,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ชุดตกแต่งพิเศษ,ชุดตกแต่งพิเศษ M Sport,■
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Veganza Perforated - Castanea
Paintwork / สีตัวถังและวัสดุภายใน,Carbon Black Metallic,Veganza Perforated - Castanea
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,Veganza Perforated - Castanea
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,3 กรกฎาคม 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(ZLD)
หมายเหตุ,¹ ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,■
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 6 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 6 ปี ไม่จำกัดระยะทาง และการรับประกันแบตเตอรี่แรงดันไฟสูงและอุปกรณ์ร่วมนานสูงสุด 8 ปี หรือ 160,000 กม. (แล้วแต่อย่างใดถึงก่อน) ช่วงระยะเวลาการนำรถเข้ารับบริการครบกำหนดทุก 24 เดือน",■
หมายเหตุ,"บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงข้อมูล ไม่ว่าจะเป็นข้อกำหนดเรื่องรายละเอียด, สเปค และรุ่น ณ เวลาใดๆ โดยไม่ต้องบอกกล่าวล่วงหน้า และไม่จัดอยู่ในความรับผิดชอบในกรณีที่มีการผิดพลาดทางการพิมพ์",■
