Category,Topic,XM
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบ Active Protection,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ระบบปกป้องคนเดินถนนเมื่อเกิดอุบัติเหตุ,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Driver's,■
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,27 กุมภาพันธ์ 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(ZFX, Z3P, Z4F)"
